Date,Forecast_Adj_Close
2019-12-31,289.562679862228
2020-01-01,289.6789279978836
2020-01-02,289.7732800145673
2020-01-03,289.82319996954635
2020-01-04,289.8580492069792
2020-01-05,289.8592787424922
2020-01-06,289.86260078649144
2020-01-07,289.86581192944317
2020-01-08,289.86799772607145
2020-01-09,289.8686599745505
2020-01-10,289.8686475250772
2020-01-11,289.8687612068273
2020-01-12,289.8688988759972
2020-01-13,289.86896821355197
2020-01-14,289.86897542763006
2020-01-15,289.868973297864
2020-01-16,289.86897892775613
2020-01-17,289.86898447805703
2020-01-18,289.8689861652064
2020-01-19,289.8689859184658
2020-01-20,289.8689858755227
2020-01-21,289.8689861725873
2020-01-22,289.8689863676939
2020-01-23,289.8689863876208
2020-01-24,289.86898636617406
2020-01-25,289.86898637042606
2020-01-26,289.8689863845451
2020-01-27,289.8689863900865
2020-01-28,289.86898638915443
2020-01-29,289.86898638827404
